description	rgb	value	mcsc_class	mcsc_value
 Temperate or sub-polar needleleaf forest	 RGB 0 61 0	1	dense_green_area	11
 Sub-polar taiga needleleaf forest	 RGB 148 156 112	2	dense_green_area	11
 Tropical or sub-tropical broadleaf evergreen forest	 RGB 0 99 0	3	dense_green_area	11
 Tropical or sub-tropical broadleaf deciduous forest	 RGB 30 171 5	4	dense_green_area	11
 Temperate or sub-polar broadleaf deciduous forest	 RGB 20 140 61	5	dense_green_area	11
 Mixed forest	 RGB 92 117 43	6	dense_green_area	11
 Tropical or sub-tropical shrubland	 RGB 179 158 43	7	hetero_green_area	9
 Temperate or sub-polar shrubland	 RGB 179 138 51	8	hetero_green_area	9
 Tropical or sub-tropical grassland	 RGB 232 220 94	9	hetero_green_area	9
 Temperate or sub-polar grassland	 RGB 225 207 138	10	hetero_green_area	9
 Sub-polar or polar shrubland-lichen-moss	 RGB 156 117 84	11	hetero_green_area	9
 Sub-polar or polar grassland-lichen-moss	 RGB 186 212 143	12	open_green_area	6
 Sub-polar or polar barren-lichen-moss	 RGB 64 138 112	13	bare_nonconcrete_area	10
 Wetland	 RGB 107 163 138	14	hetero_green_area	9
 Cropland	 RGB 230 174 102	15	resourceful_green_area	8
 Barren lands	 RGB 168 171 174	16	bare_nonconcrete_area	10
 Urban	 RGB 220 33 38	17	na_developed	28
 Water	 RGB 76 112 163	18	water	12
 Snow and Ice	 RGB 255 250 255	19	water	12
