,osm_city,State,osm_id,buffer
1,Albany2,NY,1428091,5
2,Boston2,MA,1840539,30
3,Buffalo,NY,36074,5
4,Chicago2,IL,122576,35
5,Cleveland,OH,350381,20
6,Durham,NH,70951,25
7,Geneva,NY,176059,20
8,Guelph,ON,7486148,15
9,Kingston,ON,4145881,15
10,Marquette,MI,1798743,10
11,Montgomery_County,MD,936970,30
12,Montreal,QC,1571328,30
13,Newark,OH,178389,10
14,Niagara_Falls,NY,36267,5
15,Olean,NY,78971,10
16,Philadelphia,PA,417845,50
17,Sault_Ste_Marie,MI,1898718,20
18,St_Louis,MO,1180456,15
19,Syracuse2,NY,1838019,10
20,Toronto2,ON,324211,10
21,Urbana2,IL,1801516,5
22,Watertown,NY,1835268,10
23,Westfield,MA,1181619,15
24,Wilkes_Barre,PA,417772,5
25,Wilmington2,DE,1245077,5
26,Winona,MN,1797832,5
27,Wooster,OH,911304,5
