,priority,feature,res_LM,res_SM,source_strength
1,1,industrial,60,60,0
2,2,commercial,50,50,0
3,3,institutional,40,40,0
4,4,residential,35,35,0
5,5,landuse_rail,30,30,0
6,6,open_green_area,15,15,0
7,7,protected_area,8,8,8
8,8,resourceful_green_area,10,10,0
9,9,hetero_green_area,15,15,10
10,10,bare_soil,5,5,0
11,11,dense_green_area,70,100,15
12,12,water,45,45,0
13,13,parking_surface,100,100,0
14,14,building,80,100,0
15,15,linear_feature_vh_traffic,30,30,0
16,16,linear_feature_no_traffic_side,40,40,0
17,17,linear_feature_na_traffic,25,25,0
18,18,linear_feature_vl_traffic,35,35,0
19,19,linear_feature_l_traffic,40,40,0
20,20,linear_feature_m_traffic,45,45,0
21,21,linear_feature_h_traffic_ls,50,50,0
22,22,linear_feature_h_traffic_hs,10,10,0
23,23,linear_feature_rail_trams,40,40,0
24,24,linear_feature_no_traffic,10,10,0
25,25,linear_feature_rail,15,15,0
26,26,linear_feature_rail_abandoned,10,10,0
27,27,barrier,70,70,0
28,28,developed_na,40,40,0
