,priority,feature,res_LM,res_SM,source_strength,color_brewer,cb_simple,resistance - physical,shelter (-),mortality risk,mortality risk_night,human presence,human presence_night,Anthropogenic food content (scraps and introduced vegetation) or natural food source,res_avoider,res_adapter,res_exploiter,res_avoider_night,res_adapter_night,res_exploiter_night,source_avoider,source_adapter,source_exploiter
1,1,industrial,60,60,0,#620b26,#d73027,0,10,0,0,80,20,30,6880,480,340,880,360,310,0,30,50
2,2,commercial,50,50,0,#8b0000,#d73027,0,10,0,0,90,23,50,8520,460,285,926,325,251,0,20,50
3,3,institutional,40,40,0,#c00000,#d73027,0,40,5,2,70,18,20,5323,425,345,727,317,312,0,30,70
4,4,residential,35,35,0,#de7f00,#d73027,0,40,10,3,100,25,60,10305,410,250,927,253,199,0,0,70
5,5,landuse_rail,30,30,0,#ffca2a,#999999,0,60,20,7,5,1,10,425,290,353,395,269,324,0,0,0
6,6,open_green_area,15,15,0,#d9ef8b,#74c476,0,40,0,0,40,10,50,1930,300,230,430,240,215,0,0,60
7,7,protected_area,8,8,8,#a1d99b,#74c476,0,60,0,0,20,5,70,610,180,140,235,150,133,90,80,80
8,8,resourceful_green_area,10,10,0,#8c510a,#74c476,40,50,0,0,50,13,80,2750,280,175,406,205,156,0,0,0
9,9,hetero_green_area,15,15,10,#74c476,#74c476,0,70,0,0,10,3,70,280,140,125,186,125,121,80,80,80
10,10,bare_soil,15,15,0,#edf8e9,#74c476,0,0,0,0,10,3,10,670,400,375,576,385,371,0,0,0
11,11,dense_green_area,5,5,15,#006d2c,#74c476,0,100,0,0,5,1,80,85,50,63,62,43,61,100,100,100
12,12,water,70,100,0,#1F78B4,#1F78B4,100,0,99,33,0,0,0,10750,1000,1000,717,533,566,0,0,0
13,13,parking_surface,45,45,0,#999999,#999999,0,0,30,10,60,15,10,4185,530,460,800,420,398,0,0,0
14,14,building,100,100,0,#4d4d4d,#999999,100,0,100,33,100,25,0,10750,1000,1000,1342,583,579,0,0,0
15,15,linear_feature_vh_traffic,80,100,0,#b2182b,#999999,80,0,90,30,90,23,0,8825,750,705,1201,555,551,0,0,0
16,16,linear_feature_no_traffic_side,30,30,0,#ef8a62,#999999,0,0,10,3,50,13,0,3105,510,445,758,428,413,0,0,0
17,17,linear_feature_na_traffic,40,40,0,#e0e0e2,#999999,0,0,50,17,50,13,0,3125,550,525,765,442,440,0,0,0
18,18,linear_feature_vl_traffic,25,25,0,#e0e0e3,#999999,0,0,20,7,40,10,40,2090,420,340,583,347,298,0,0,0
19,19,linear_feature_l_traffic,35,35,0,#e0e0e4,#999999,0,0,40,13,60,15,40,4100,480,390,712,363,314,0,0,0
20,20,linear_feature_m_traffic,40,40,0,#e0e0e5,#999999,0,0,50,17,70,18,20,5465,550,475,855,412,382,0,0,0
21,21,linear_feature_h_traffic_ls,45,45,0,#e0e0e6,#999999,0,0,60,20,80,20,0,7030,620,560,1010,460,450,0,0,0
22,22,linear_feature_h_traffic_hs,50,50,0,#e0e0e7,#999999,0,0,80,27,85,21,0,7865,650,603,1065,469,464,0,0,0
23,23,linear_feature_rail_trams,40,40,0,#e0e0e8,#999999,0,0,40,13,30,8,0,1520,500,495,663,428,430,0,0,0
24,24,linear_feature_no_traffic,10,10,0,#ef8a62,#999999,0,0,10,3,10,3,0,705,430,425,608,408,408,0,0,0
25,25,linear_feature_rail,15,15,0,#e0e0e1,#999999,50,0,10,3,10,3,30,665,420,385,568,398,368,0,0,0
26,26,linear_feature_rail_abandoned,10,10,0,#e0e0e1,#999999,0,0,0,0,0,0,40,480,320,280,480,320,280,0,0,0
27,27,barrier,70,70,0,#4d4d4d,#999999,50,0,50,17,0,0,30,5750,440,460,568,407,393,0,0,0
28,28,developed_na,40,40,0,#b2182b,#d73027,0,30,10,3,80,20,50,6765,410,280,762,283,237,0,0,0
