class,description,res_large_mammals,res_small_mammals,source_strength
1,industrial,70,70,NA
2,commercial,50,50,NA
3,institutional,35,30,NA
4,residential,40,30,NA
5,landuse_rail,30,40,NA
6,open_green_area,15,15,5
7,resourceful_green_area,10,10,15
8,hetero_green_area,10,10,15
9,dense_green_area,5,5,20
10,water,100,100,NA
11,parking_surface,20,30,NA
12,building,100,100,NA
13,roads_vh_traffic,80,95,NA
14,roads_na_traffic,40,40,NA
15,roads_vl_traffic,25,40,NA
16,roads_l_traffic,35,50,NA
17,roads_m_traffic,40,65,NA
18,roads_h_traffic_ls,45,70,NA
19,roads_h_traffic_hs,50,80,NA
20,tram,45,45,NA
21,trails,15,15,NA
22,rails,15,15,NA
23,unused_rails,10,10,NA
24,barrier,70,70,NA
